List of Canadian Companies on U.S. Exchanges

Symbol	Name	U.S. Exchange	Cross-list symbol	Cross-list exchange	GICS Sector	Industry	Market cap	Average Volume	Action
NTTHF	Neo Lithium Corp.	OTC markets	CV:NLC	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$313,768,521	402,456	Analyze
TPRFF	Gran Colombia Gold Corp.	OTC markets	CV:GCM	TSX Venture Exchange	Materials	Gold	$312,963,873	86,427	Analyze
IPATF	ImmunoPrecise Antibodies Ltd.	OTC markets			Health Care	Biotechnology	$309,401,579	185,591	Analyze
BRGGF	Bragg Gaming Group Inc.	OTC markets	CV:BRAG	TSX Venture Exchange	Unknown	Electronic Gaming & Multimedia	$307,440,987	128,631	Analyze
GPL	Great Panther Silver Limited	NYSE American	CT:GPR	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$298,262,813	3,614,829	Analyze
PLG	Platinum Group Metals Ltd.	NYSE American	CT:PTM	Toronto Stock Exchange	Materials	Other Precious Metals & Mining	$296,027,282	1,770,353	Analyze
KOR	Corvus Gold Inc.	NASDAQ Capital Market	CT:KOR	Toronto Stock Exchange	Materials	Gold	$289,989,215	189,691	Analyze
BLU	BELLUS Health Inc.	NASDAQ Global Select	CT:BLU	Toronto Stock Exchange	Health Care	Biotechnology	$286,714,741	1,261,808	Analyze
EXROF	Exro Technologies Inc.	OTC markets			Unknown	Electrical Equipment & Parts	$285,747,199	217,051	Analyze
NOA	North American Construction Group Ltd.	New York Stock Exchange	CT:NOA	Toronto Stock Exchange	Energy	Oil & Gas Equipment & Services	$285,596,906	69,938	Analyze
EMX	Emx Royalty Corporation	NYSE American	CV:EMX	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$285,364,290	308,979	Analyze
GPVRF	GreenPower Motor Company Inc.	OTC markets	CV:GPV	TSX Venture Exchange	Unknown	Auto Manufacturers	$279,379,800	5,557,140	Analyze
IPA	ImmunoPrecise Antibodies Ltd.	NASDAQ Global Market	CV:IPA	TSX Venture Exchange	Health Care	Biotechnology	$277,695,358	56,197	Analyze
PDS	Precision Drilling Corp	New York Stock Exchange	CT:PD	Toronto Stock Exchange	Energy	Oil & Gas Drilling	$276,460,040	108,451	Analyze
GAU	Galiano Gold Inc.	NYSE American			Minerals	Gold	$266,861,691	1,554,878	Analyze
GLDG	GoldMining Inc.	NYSE American	CT:GOLD	Toronto Stock Exchange	Materials	Other	$263,197,568	644,374	Analyze
THM	International Tower Hill Mines Ltd	NYSE American	CT:ITH	Toronto Stock Exchange	Materials	Gold	$263,126,048	450,693	Analyze
TK	Teekay Corp	New York Stock Exchange			Energy	Oil & Gas Midstream	$261,872,015	881,637	Analyze
MLNLF	Millennial Lithium Corp.	OTC markets	CV:ML	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$259,064,512	29,861	Analyze
NEPT	Neptune Wellness Solutions Inc	NASDAQ Capital Market	CT:NEPT	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$259,036,338	2,344,848	Analyze
ACRGF	Acreage Holdings Inc.	OTC markets	CF:ACRG-U	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$256,517,720	115,927	Analyze
AOTVF	Ascot Resources Ltd.	OTC markets	CT:AOT	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$253,413,775	301,521	Analyze
QTRHF	Quarterhill Inc	OTC markets	CT:QTRH	Toronto Stock Exchange	Information Technology	Communication Equipment	$247,576,608	26,162	Analyze
IMV	IMV Inc.	NASDAQ Capital Market	CT:IMV	Toronto Stock Exchange	Health Care	Biotechnology	$247,575,188	241,129	Analyze
BCEKF	Bear Creek Mining Corporation	OTC markets	CV:BCM	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$244,060,775	101,322	Analyze
TMDI	Titan Medical Inc.	NASDAQ Capital Market	CT:TMD	Toronto Stock Exchange	Health Care	Medical Devices	$240,101,122	6,197,869	Analyze
FFMGF	First Mining Gold Corp.	OTC markets	CT:FF	Toronto Stock Exchange	Materials	Gold	$237,907,978	1,310,545	Analyze
SEOVF	Sernova Corp.	OTC markets			Health Care	Medical Devices	$233,598,745	34,720	Analyze
GTE	Gran Tierra Energy Inc.	NYSE American	CT:GTE	Toronto Stock Exchange	Energy	Oil & Gas E&P	$232,666,307	38,528,837	Analyze
MDNAF	Medicenna Therapeutics Corp.	OTC markets	CT:MDNA	Toronto Stock Exchange	Health Care	Biotechnology	$227,965,583	50,315	Analyze
LMGDF	Lumina Gold Corp.	OTC markets			Unknown	Gold	$222,188,541	277,550	Analyze
TAKOF	Drone Delivery Canada Corp	OTC markets	CV:FLT	TSX Venture Exchange	Unknown	Computer Hardware	$220,569,918	44,639	Analyze
CHPGF	Chesapeake Gold Corp.	OTC markets	CV:CKG	TSX Venture Exchange	Materials	Other Precious Metals & Mining	$220,159,846	49,072	Analyze
BDRAF	Bombardier Inc. Class A	OTC markets	CT:BBD-A	Toronto Stock Exchange	Unknown	Aerospace & Defense	$220,005,936	117,903	Analyze
LIACF	American Lithium Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$217,697,362	1,235,855	Analyze
AMXEF	Amex Exploration Inc.	OTC markets	CV:AMX	TSX Venture Exchange	Materials	Gold	$216,592,477	175,106	Analyze
THTX	Theratechnologies Inc.	NASDAQ Capital Market	CT:TH	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$214,667,602	422,739	Analyze
PCLOF	PharmaCielo Ltd.	OTC markets	CV:PCLO	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$214,612,336	19,148	Analyze
RNKLF	Royal Nickel Corporation	OTC markets	CV:RNX	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$214,042,981	45,752	Analyze
GSV	Gold Standard Ventures Corporation	NYSE American	CT:GSV	Toronto Stock Exchange	Materials	Gold	$213,064,248	2,975,745	Analyze
EFLVF	Electrovaya Inc.	OTC markets	CT:EFL	Toronto Stock Exchange	Industrials	Electrical Equipment & Parts	$204,037,811	215,682	Analyze
DYFSF	DynaCERT Inc.	OTC markets	CV:DYA	TSX Venture Exchange	Industrials	Specialty Industrial Machinery	$203,613,138	31,486	Analyze
BBSRF	Bluestone Resources Inc.	OTC markets	CV:BSR	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$202,330,026	88,655	Analyze
VLNCF	Valens GroWorks Corp.	OTC markets	CV:VLNS	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$200,525,198	80,226	Analyze
MDNA	Medicenna Therapeutics Corp.	NASDAQ Capital Market	CT:MDNA	Toronto Stock Exchange	Health Care	Biotechnology	$199,671,674	283,083	Analyze
LOMLF	Lion One Metals Limited	OTC markets	CV:LIO	TSX Venture Exchange	Materials	Gold	$199,135,223	78,450	Analyze
HEOFF	H2O Innovation Inc.	OTC markets	CV:HEO	TSX Venture Exchange	Industrials	Utilities—Regulated Water	$192,314,003	3,580	Analyze
ORZCF	Orezone Gold Corporation	OTC markets	CV:ORE	TSX Venture Exchange	Materials	Gold	$191,839,655	100,179	Analyze
DRTT	DIRTT Environmental Solutions Ltd.	NASDAQ Global Select	CT:DRT	Toronto Stock Exchange	Industrials	Engineering & Construction	$191,379,883	289,285	Analyze
ITRG	Integra Resources Corp.	NYSE American	CV:ITR	TSX Venture Exchange	Materials	Other Precious Metals & Mining	$191,272,120	86,763	Analyze
HITIF	High Tide Inc.	OTC markets			Unknown	Tobacco	$188,726,873	72,367	Analyze
FURY	Fury Gold Mines Limited	NYSE American	CT:FURY	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$188,518,171	641,745	Analyze
NYMX	Nymox Pharmaceutical Corp	NASDAQ Capital Market			Health Care	Biotechnology	$188,395,208	127,173	Analyze
MOGO	Mogo Finance Technology Inc.	NASDAQ Capital Market	CT:MOGO	Toronto Stock Exchange	Financials	Software—Application	$186,401,855	1,174,434	Analyze
GLATF	Global Atomic Corporation	OTC markets	CT:GLO	Toronto Stock Exchange	Unknown	Other Industrial Metals & Mining	$183,657,639	15,258	Analyze
ALEAF	Aleafia Health Inc.	OTC markets	CT:ALEF	Toronto Stock Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$183,460,831	156,744	Analyze
FCUUF	Fission Uranium Corp.	OTC markets	CV:FCU	TSX Venture Exchange	Energy	Uranium	$181,022,813	271,514	Analyze
IRRZF	Integra Resources Corp	OTC markets	CV:ITR	TSX Venture Exchange	Unknown	Other Precious Metals & Mining	$179,337,000	86,839	Analyze
MAKOF	Mako Mining Corp.	OTC markets			Unknown	Gold	$173,839,068	246,375	Analyze
CBWTF	Auxly Cannabis Group Inc.	OTC markets	CV:XLY	TSX Venture Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$172,951,902	652,807	Analyze
EXMGF	Excelsior Mining Corp.	OTC markets	CV:MIN	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$170,567,031	142,500	Analyze
SRAFF	Sandfire Resources America Inc.	OTC markets	CV:SFR	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$170,509,561	70,690	Analyze
SRRA	Sierra Oncology	NASDAQ Global Market			Health Care	Biotechnology	$168,258,744	41,244	Analyze
MNDJF	Mandalay Resources Corporation	OTC markets	CT:MND	Toronto Stock Exchange	Materials	Gold	$164,664,564	11,738	Analyze
PRMNF	Prime Mining Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$164,128,051	16,365	Analyze
PROBF	Probe Metals Inc.	OTC markets	CV:PRB	TSX Venture Exchange	Materials	Gold	$164,077,688	74,066	Analyze
CRECF	Critical Elements Lithium Corporation	OTC markets	CV:CRE	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$161,653,162	1,000	Analyze
WRN	Western Copper And Gold Corporation	NYSE American	CT:WRN	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$161,361,186	371,502	Analyze
TLLTF	TILT Holdings Inc.	OTC markets	CF:TILT	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$160,596,211	243,677	Analyze
DFLYF	Draganfly Inc	OTC markets			Unknown	Aerospace & Defense	$159,545,704	41,899	Analyze
TREVF	Trevali Mining Corporation	OTC markets	CT:TV	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$154,100,469	32,593	Analyze
CRHM	CRH Medical Corporation	NYSE American	CT:CRH	Toronto Stock Exchange	Health Care	Medical Instruments & Supplies	$153,351,191	62,096	Analyze
NIOBF	NioCorp Developments Ltd.	OTC markets	CV:NB	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$145,266,712	47,685	Analyze
CXXIF	C21 Investments Inc	OTC markets			Unknown	Other	$143,737,142	3,807	Analyze
ISENF	IsoEnergy Ltd.	OTC markets	CV:ISO	TSX Venture Exchange	Energy	Uranium	$142,987,297	45,344	Analyze
FFLWF	Fire & Flower Holdings Corp.	OTC markets	CT:FAF	Toronto Stock Exchange	Unknown	Pharmaceutical Retailers	$140,984,348	12,476	Analyze
OPSSF	Opsens Inc.	OTC markets	CT:OPS	Toronto Stock Exchange	Health Care	Scientific & Technical Instruments	$140,071,666	0	Analyze
AAGFF	Aftermath Silver Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$138,592,074	328,266	Analyze
GDRZF	Gold Reserve Inc. Class A	OTC markets	CV:GRZ	TSX Venture Exchange	Materials	Gold	$138,159,117	92,545	Analyze
MMRGF	Minaurum Gold Inc.	OTC markets	CV:MGG	TSX Venture Exchange	Materials	Gold	$136,379,518	104,275	Analyze
ALYA	Alithya Group Inc. - Class A Subordinate Voting Shares	NASDAQ Capital Market	CT:ALYA	Toronto Stock Exchange	Information Technology	Information Technology Services	$132,782,346	163,520	Analyze
RBYCF	Rubicon Minerals Corporation	OTC markets	CT:RMX	Toronto Stock Exchange	Materials	Gold	$129,339,990	23,173	Analyze
ENCUF	enCore Energy Corp.	OTC markets			Unknown	Uranium	$127,481,493	148,170	Analyze
VRSSF	Versus Systems Inc	OTC markets			Communication Services	Electronic Gaming & Multimedia	$126,945,782	0	Analyze
TGODF	Green Organic Dutchman Holdings Ltd.	OTC markets	CT:TGOD	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$126,292,360	658,464	Analyze
ASM	Avino Silver & Gold Mines Ltd.	NYSE American	CT:ASM	Toronto Stock Exchange	Materials	Silver	$125,396,155	9,083,652	Analyze
DMGGF	DMG Blockchain Solutions Inc.	OTC markets			Unknown	Software—Application	$124,607,210	31,270	Analyze
CYDVF	Cypress Development Corp.	OTC markets			Materials	Other Industrial Metals & Mining	$124,176,953	127,909	Analyze
ELYGF	Ely Gold Royalties Inc.	OTC markets	CV:ELY	TSX Venture Exchange	Unknown	Gold	$124,163,884	345,488	Analyze
SLVRF	Silver One Resources Inc.	OTC markets			Materials	Silver	$120,637,919	330,347	Analyze
ATBPF	Antibe Therapeutics Inc.	OTC markets	CV:ATE	TSX Venture Exchange	Health Care	Biotechnology	$119,902,668	0	Analyze
VQSLF	VIQ Solutions Inc.	OTC markets	CV:VQS	TSX Venture Exchange	Information Technology	Software—Application	$119,405,505	3,425	Analyze
RIOFF	Rio2 Ltd.	OTC markets	CV:RIO	TSX Venture Exchange	Unknown	Gold	$119,191,468	233,427	Analyze
AUIAF	Aurania Resources Ltd.	OTC markets			Unknown	Other Precious Metals & Mining	$118,706,126	23,700	Analyze
ROMJF	Rubicon Organics Inc.	OTC markets	CF:ROMJ	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$118,276,056	400	Analyze
ALMTF	Almonty Industries Inc.	OTC markets	CT:ALL	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$116,773,727	0	Analyze
ZOM	Zomedica Pharmaceuticals Corp.	NYSE American	CV:ZOM		Health Care	Drug Manufacturers—Specialty & Generic	$116,681,470	246,926,040	Analyze
ONCY	Oncolytics Biotech Inc.	NASDAQ Capital Market	CT:ONC	Toronto Stock Exchange	Health Care	Biotechnology	$114,057,561	1,336,518	Analyze
FTSSF	First Cobalt Corp.	OTC markets	CV:FCC	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$113,216,878	161,754	Analyze
VS	Versus Systems Inc.	NASDAQ Capital Market	CF:VS	Canadian Securities Exchange	Unknown	Other	$112,604,627	60,539	Analyze
RCKXF	Rocky Mountain Dealerships Inc.	OTC markets	CT:RME	Toronto Stock Exchange	Industrials	Industrial Distribution	$111,612,633	0	Analyze
VIZSF	Vizsla Resources Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$111,049,860	342,398	Analyze
VREOF	Vireo Health International Inc.	OTC markets	CF:VREO	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$109,797,665	79,871	Analyze
OVTZ	Oculus VisionTech Inc.	OTC markets			Information Technology	Software—Infrastructure	$109,246,786	106,544	Analyze
CHXMF	Troilus Gold Corp.	OTC markets	CT:TLG	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$108,887,339	146,819	Analyze
ARREF	Amerigo Resources Ltd	OTC markets	CT:ARG	Toronto Stock Exchange	Materials	Copper	$108,461,611	8,915	Analyze
YNVYF	Ynvisible Interactive Inc. Class A	OTC markets			Unknown	Electronic Components	$106,930,267	54,700	Analyze
ACST	Acasti Pharma Inc.	NASDAQ Capital Market	CV:ACST	TSX Venture Exchange	Health Care	Biotechnology	$106,161,376	74,779,442	Analyze
LMNL	Liminal BioSciences Inc.	NASDAQ Global Market	CT:LMNL	Toronto Stock Exchange	Health Care	Biotechnology	$106,089,949	1,808,777	Analyze
ABAHF	Abacus Health Products Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$104,441,876	0	Analyze
BALMF	Balmoral Resources Ltd.	OTC markets	CT:BAR	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$104,220,112	0	Analyze
SHRMF	Champignon Brands Inc.	OTC markets	CF:SHRM	Canadian Securities Exchange	Unknown	Packaged Foods	$103,892,064	176,258	Analyze
LXXGF	Lexagene Holdings Inc.	OTC markets			Unknown	Medical Devices	$102,956,929	153,285	Analyze
SQIDF	SQI Diagnostics Inc.	OTC markets			Health Care	Diagnostics & Research	$102,877,560	0	Analyze
NMKEF	Nemaska Lithium Inc.	OTC markets	CT:NMX	Toronto Stock Exchange	Materials		$101,800,884	0	Analyze
CANSF	Willow Biosciences Inc.	OTC markets			Materials	Drug Manufacturers—Specialty & Generic	$101,751,440	58,250	Analyze
CYRTF	Benchmark Metals Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$101,263,900	226,640	Analyze
CBIIF	CB2 Insights Inc	OTC markets			Unknown	Health Information Services	$100,536,156	5,400	Analyze
NXGWF	Next Green Wave Holdings Inc.	OTC markets	CF:NGW	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$98,432,589	117,922	Analyze
TSRMF	Treasury Metals Inc.	OTC markets	CT:TML	Toronto Stock Exchange	Materials	Gold	$97,791,533	282,600	Analyze
ADVZF	Adventus Mining Corp.	OTC markets	CV:ADZN	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$97,700,330	13,860	Analyze
EXN	Excellon Resources Inc.	NYSE American	CT:EXN	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$97,662,542	91,146	Analyze
GVXXF	GoviEx Uranium Inc Class A	OTC markets			Unknown	Uranium	$97,253,516	72,327	Analyze
AAU	Almaden Minerals Ltd.	NYSE American	CT:AMM	Toronto Stock Exchange	Materials	Gold	$94,625,994	9,087,103	Analyze
EXFO	Exfo Inc	NASDAQ Global Select	CT:EXF	Toronto Stock Exchange	Information Technology	Communication Equipment	$93,747,951	104,977	Analyze
KOREF	KORE Mining Ltd.	OTC markets			Unknown	Gold	$93,613,160	483,950	Analyze
SPRWF	Supreme Cannabis Company Inc	OTC markets	CT:FIRE	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$93,070,152	303,044	Analyze
AGEEF	Halo Labs Inc.	OTC markets	QF:HALO		Unknown	Drug Manufacturers—Specialty & Generic	$91,895,756	88,057	Analyze
MEDIF	MediPharm Labs Corp.	OTC markets	CT:LABS	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$91,479,241	276,375	Analyze
NTTCF	NetCents Technology Inc. Class A	OTC markets			Unknown	Software—Infrastructure	$88,985,230	35,697	Analyze
ICNAF	Icanic Brands Company Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$87,533,974	28,948	Analyze
MMNFF	MedMen Enterprises Inc. Class B	OTC markets	CF:MMEN	Canadian Securities Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$86,309,378	708,678	Analyze
EPSN	Epsilon Energy Ltd.	NASDAQ Global Market			Energy	Oil & Gas E&P	$84,699,933	16,222	Analyze
KNRLF	Kontrol Energy Corp.	OTC markets			Unknown	Information Technology Services	$83,592,665	27,504	Analyze
SNANF	Sona Nanotech Inc.	OTC markets	CF:SONA	Canadian Securities Exchange	Unknown	Medical Instruments & Supplies	$82,997,237	0	Analyze
SSVFF	Southern Silver Exploration Corp.	OTC markets			Unknown	Other Precious Metals & Mining	$82,578,336	238,603	Analyze
TGA	Transglobe Energy Corporation	NASDAQ Capital Market	CT:TGL	Toronto Stock Exchange	Energy	Oil & Gas E&P	$81,972,540	547,992	Analyze
CRTPF	Cardiol Therapeutics Inc. Class A	OTC markets	CT:CRDL	Toronto Stock Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$81,641,393	42,897	Analyze
BILZF	Ignite International Brands Ltd	OTC markets	CF:BILZ	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$81,310,530	73,871	Analyze
KRKNF	Kraken Robotics Inc	OTC markets			Unknown	Scientific & Technical Instruments	$79,941,726	62,065	Analyze
GRSLF	GR Silver Mining Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$79,750,267	156,310	Analyze
MGMLF	Maple Gold Mines Ltd	OTC markets			Materials	Gold	$78,565,302	355,513	Analyze
EGTYF	Eguana Technologies Inc	OTC markets			Industrials	Electrical Equipment & Parts	$77,408,984	53,588	Analyze
DSGT	DSG Global Inc	OTC markets			Unknown	Scientific & Technical Instruments	$75,262,816	49,816	Analyze
BONXF	BonTerra Resources Inc.	OTC markets	CV:BTR	TSX Venture Exchange	Materials	Gold	$74,408,181	170,221	Analyze
GLVMF	Golden Valley Mines Ltd.	OTC markets			Materials	Other Industrial Metals & Mining	$73,945,971	93,122	Analyze
EPWCF	Empower Clinics Inc	OTC markets			Unknown	Medical Care Facilities	$73,791,095	80,625	Analyze
PTOTF	Patriot One Technologies Inc.	OTC markets	CT:PAT	Toronto Stock Exchange	Unknown	Software—Application	$73,600,786	42,749	Analyze
QYOUF	QYOU Media Inc.	OTC markets			Communication Services	Entertainment	$73,475,319	700	Analyze
MGLQF	Magna Gold Corp.	OTC markets			Financials	Gold	$72,730,878	206,097	Analyze
MGPHF	Mason Graphite Inc.	OTC markets	CV:LLG	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$71,114,399	279,090	Analyze
NXTTF	Namaste Technologies Inc.	OTC markets	CV:N	TSX Venture Exchange	Unknown	Internet Retail	$70,136,146	186,856	Analyze
ATIXF	AnalytixInsight Inc. (Canada)	OTC markets			Information Technology	Software—Application	$69,449,014	0	Analyze
ERLFF	Entree Resources Ltd	OTC markets			Materials	Other Industrial Metals & Mining	$68,736,592	26,225	Analyze
SROYF	Sailfish Royalty Corp.	OTC markets	CV:FISH	TSX Venture Exchange	Materials	Gold	$68,172,582	29,505	Analyze
PWWBF	Powerband Solutions Inc.	OTC markets			Unknown	Software—Application	$67,477,829	10,107	Analyze
SKKY	Skkynet Cloud Systems Inc.	OTC markets			Information Technology	Software—Infrastructure	$67,048,959	0	Analyze
ANXGF	Anaconda Mining Inc.	OTC markets	CT:ANX	Toronto Stock Exchange	Materials	Gold	$66,569,622	90,648	Analyze
NGENF	NervGen Pharma Corp.	OTC markets	CV:NGEN	TSX Venture Exchange	Health Care	Biotechnology	$66,019,725	2,982	Analyze
BMMJ	Body & Mind Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$64,707,349	21,577	Analyze
OBELF	Obsidian Energy Ltd	OTC markets			Energy	Oil & Gas E&P	$63,591,535	511,752	Analyze
OSSIF	OneSoft Solutions Inc.	OTC markets			Information Technology	Software—Application	$63,580,447	25,285	Analyze
AGCBF	Amarillo Gold Corporation	OTC markets			Materials	Gold	$62,960,743	59,608	Analyze
SILEF	Silver Elephant Mining Corp	OTC markets	CT:ELEF	Toronto Stock Exchange	Unknown	Other Industrial Metals & Mining	$62,068,440	317,365	Analyze
CCWOF	Canada Silver Cobalt Works Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$60,930,109	124,455	Analyze
ACHFF	Arch Biopartners Inc.	OTC markets			Health Care	Biotechnology	$60,135,056	0	Analyze
LOVFF	Cannara Biotech Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$59,173,448	500	Analyze
ALVOF	Alvopetro Energy Ltd.	OTC markets	CV:ALV	TSX Venture Exchange	Energy	Oil & Gas E&P	$58,838,523	124,000	Analyze
UURAF	Ucore Rare Metals Inc.	OTC markets	CT:UCU	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$58,804,101	729,400	Analyze
AVLNF	Avalon Advanced Materials Inc.	OTC markets	CT:AVL	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$58,707,617	36,700	Analyze
NTOX	Notox Technologies Corp.	OTC markets			Unknown	Leisure	$58,399,809	0	Analyze
HGGOF	HighGold Mining Inc	OTC markets			Unknown	Gold	$58,158,119	20,249	Analyze
CDBMF	Cordoba Minerals Corp.	OTC markets	CV:CDB	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$57,554,670	39,692	Analyze
GGGOF	Galane Gold Ltd.	OTC markets			Materials	Gold	$57,469,057	41,700	Analyze
ILATF	iLOOKABOUT Corp.	OTC markets			Unknown	Software—Application	$57,400,507	100	Analyze
MCLDF	mCloud Technologies Corp	OTC markets			Unknown	Software—Application	$57,385,447	121,617	Analyze
BBKCF	BIGG Digital Assets Inc.	OTC markets			Unknown	Capital Markets	$56,621,420	457,853	Analyze
NSUPF	Northern Superior Resources Inc.	OTC markets			Unknown	Gold	$55,705,998	5,600	Analyze
OMZNF	Osisko Metals Incorporated	OTC markets	CT:OM	Toronto Stock Exchange	Unknown	Other Industrial Metals & Mining	$55,427,688	50,565	Analyze
ASPCF	Acerus Pharmaceuticals Corporation	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$54,738,136	100	Analyze
CLABF	Core One Labs Inc.	OTC markets	CF:COOL	Canadian Securities Exchange	Unknown	Medical Instruments & Supplies	$53,608,855	146,800	Analyze
AEZS	Aeterna Zentaris Inc.	NASDAQ Capital Market	CT:AEZS	Toronto Stock Exchange	Health Care	Biotechnology	$53,482,263	20,308,528	Analyze
VLCJF	Velocity Minerals Ltd.	OTC markets			Unknown		$53,176,215	0	Analyze
EANRF	Eastmain Resources Inc.	OTC markets	CT:ER	Toronto Stock Exchange	Materials	Gold	$52,716,200	273,227	Analyze
TBXXF	Turmalina Metals Corp.	OTC markets	CV:TBX	TSX Venture Exchange	Unknown	Other Precious Metals & Mining	$52,701,487	192,625	Analyze
WDDMF	WeedMD Inc.	OTC markets	CV:WMD	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$52,607,481	50,984	Analyze
VVCIF	VIVO Cannabis Inc.	OTC markets	CT:VIVO	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$52,395,109	90,691	Analyze
HERTF	Heritage Cannabis Holdings Corp.	OTC markets	CF:CANN	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$52,362,068	49,968	Analyze
FLOOF	Flower One Holdings Inc.	OTC markets	CF:FONE	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$52,179,128	14,469	Analyze
JGLDF	Japan Gold Corp	OTC markets			Unknown	Gold	$51,882,544	116,596	Analyze
TSKFF	Talisker Resources Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$50,895,544	31,400	Analyze
PLSDF	Pulse Seismic Inc.	OTC markets	CT:PSD	Toronto Stock Exchange	Energy	Oil & Gas Equipment & Services	$50,011,647	0	Analyze
VEXTF	Vext Science Inc.	OTC markets	CF:VEXT	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$50,009,626	500	Analyze
CRPOF	Ceapro Inc.	OTC markets	CV:CZO	TSX Venture Exchange	Materials	Biotechnology	$48,901,445	0	Analyze
MGROF	MustGrow Biologics Corp.	OTC markets			Unknown	Other	$48,393,638	0	Analyze
NULGF	Nulegacy Gold Corporation	OTC markets			Materials	Gold	$47,663,114	609,952	Analyze
HOILF	Hunter Oil Corp.	OTC markets			Energy	Oil & Gas E&P	$47,601,388	0	Analyze
RVLGF	Revival Gold Inc	OTC markets			Unknown	Gold	$46,974,498	81,033	Analyze
MIMZF	Nighthawk Gold Corp.	OTC markets	CT:NHK	Toronto Stock Exchange	Materials	Gold	$46,865,277	41,292	Analyze
RYMDF	Relay Medical Corp.	OTC markets			Unknown	Diagnostics & Research	$46,754,965	0	Analyze
PEMIF	Pure Energy Minerals Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$46,652,014	419,300	Analyze
PDDPF	Medexus Pharmaceuticals Inc.	OTC markets			Health Care	Drug Manufacturers—Specialty & Generic	$46,541,880	1,200	Analyze
CNTRF	CENTR Brands Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$46,425,957	0	Analyze
LONCF	Loncor Resources Inc.	OTC markets			Materials	Gold	$46,236,360	27,132	Analyze
